sale_id,sale_date,customer_id,product_id,quantity,unit_price,discount,region,sales_channel
S-00001,2024-11-13,C-0065,P-013,3,177.68,0.0,East,retail
S-00002,2024-10-23,C-0094,P-003,3,254.16,0.05,East,partner
S-00003,2024-03-30,C-0052,P-027,3,367.82,0.1,Central,partner
S-00004,2024-03-25,C-0066,P-018,8,510.39,0.05,East,online
S-00005,2024-02-08,C-0037,P-030,4,24.41,0.15,Central,retail
S-00006,2024-07-21,C-0004,P-006,5,280.4,0.2,East,partner
S-00007,2024-05-14,C-0150,P-044,7,110.29,0.1,North,partner
S-00008,2024-08-29,C-0007,P-015,10,314.5,0.25,East,partner
S-00009,2024-11-27,C-0017,P-015,8,315.97,0.05,West,online
S-00010,2024-01-24,C-0010,P-009,5,231.57,0.0,North,online
S-00011,2024-03-10,C-0100,P-035,8,212.56,0.25,West,partner
S-00012,2024-07-31,C-0168,P-010,2,246.53,0.15,East,online
S-00013,2024-07-08,C-0056,P-045,8,57.15,0.0,East,online
S-00014,2024-07-07,C-0140,P-044,6,94.5,0.05,South,online
S-00015,2024-02-16,C-0170,P-030,4,23.42,0.0,North,retail
S-00016,2024-03-05,C-0145,P-016,4,206.54,0.25,South,partner
S-00017,2024-04-29,C-0085,P-014,3,153.38,0.0,East,online
S-00018,2024-10-03,C-0065,P-009,3,194.23,0.0,South,online
S-00019,2024-05-01,C-0151,P-023,-5,395.33,0.05,North,online
S-00020,2024-09-26,C-0030,P-027,2,346.24,0.1,Central,partner
S-00021,2024-08-19,C-0129,P-007,4,254.21,0.0,Central,retail
S-00022,2024-11-25,C-0008,P-030,1,25.04,0.15,West,partner
S-00023,2024-09-08,C-0183,P-048,8,213.51,0.0,East,partner
S-00024,2024-02-03,C-0033,P-010,5,236.86,0.25,East,retail
S-00025,2024-09-28,C-0076,P-039,0,233.53,0.15,North,partner
S-00026,2024-12-01,C-0167,P-008,9,262.82,0.0,West,retail
S-00027,2024-07-30,C-0087,P-015,8,286.14,0.0,East,retail
S-00028,2024-12-06,C-0066,P-021,6,213.9,0.2,North,online
S-00029,2024-02-17,C-0111,P-006,2,291.98,0.1,South,partner
S-00030,2024-10-27,C-0144,P-004,9,62.89,0.0,West,retail
S-00031,2024-08-04,C-0185,P-043,1,379.19,0.05,East,online
S-00032,2024-09-16,C-0055,P-037,3,45.47,0.0,North,retail
S-00033,2024-07-07,C-0030,P-036,5,289.36,0.15,Central,partner
S-00034,2024-12-11,C-0165,P-040,9,303.34,0.05,North,online
S-00035,2024-12-25,C-0196,P-018,5,506.11,0.1,North,online
S-00036,2024-10-16,C-0169,P-010,7,211.22,0.0,North,partner
S-00037,2024-04-20,C-0097,P-034,7,395.39,0.0,East,retail
S-00038,2024-10-17,C-0153,P-021,2,211.15,0.0,South,partner
S-00039,2024-12-11,C-0021,P-004,5,64.37,0.15,West,partner
S-00040,2024-07-31,C-0070,P-029,4,331.35,0.0,East,retail
S-00041,2024-05-25,C-0174,P-008,10,251.03,0.05,North,online
S-00042,2024-11-02,C-0015,P-026,1,368.7,0.0,South,retail
S-00043,2024/06/16,C-0031,P-019,1,287.89,0.15,South,online
S-00044,2024-09-29,C-0181,P-025,4,207.95,0.1,North,retail
S-00045,2024-08-11,C-0005,P-003,8,300.18,0.1,Central,retail
S-00046,2024-07-26,C-0182,P-037,7,42.23,0.15,North,retail
S-00047,2024-11-12,C-0118,P-011,6,423.32,0.0,South,retail
S-00048,2024-07-24,C-0135,P-038,2,246.11,0.05,East,online
S-00049,27.03.2024,C-0020,P-022,9,69.29,0.25,Central,online
S-00050,2024-06-28,C-0187,P-023,3,414.63,,East,online
S-00051,2024-11-04,C-0040,P-012,2,404.75,0.2,West,partner
S-00052,2024-08-17,C-0175,P-038,10,258.54,0.1,East,online
S-00053,2024-02-04,C-0121,P-029,8,323.55,0.05,Central,online
S-00054,2024-09-16,C-0019,P-023,5,434.37,0.0,North,retail
S-00055,2024-02-09,C-0166,P-019,2,294.67,0.25,West,retail
